Sıra No,Pay Kodu,Bülten Adı
1,AFYON,AFYON CIMENTO
2,AKCNS,AKCANSA
3,AKSA,AKSA
4,AKSEN,AKSA ENERJI
5, ALBRK, ALBARAKA TURK
6,ALCTL,ALCATEL LUCENT TELETAS
7,ALKA,ALKIM KAGIT
 8,ALKIM,ALKIM KIMYA
9,ASUZU,ANADOLU ISUZU
10,ARDYZ,ARD BILISIM TEKNOLOJILERI
11,ASGYO,ASCE GMYO
12,ASELS,ASELSAN
13,ATAKP,ATAKEY PATATES
14,BASGZ,BASKENT DOGALGAZ GMYO
15,BIMAS,BIM MAGAZALAR
16,BIOEN,BIOTREND CEVRE VE ENERJI
17,BRLSM,BIRLESIM MUHENDISLIK
18,BOBET,BOGAZICI BETON SANAYI
19,BUCIM,BURSA CIMENTO
20,CLEBI,CELEBI
21,CEMAS,CEMAS DOKUM
22,CEMTS,CEMTAS
23,CWENE,CW ENERJI
24,DARDL,DARDANEL
25,ARASE,DOGU ARAS ENERJI
26,DOAS,DOGUS OTOMATİV
27,EGPRO,EGE PROFIL
28,EKSUN,EKSUN GIDA
29,ENJSA,ENERJISA ENERJI
30,ERCB,ERCIYSA CELIK BORU
31,EREGL,EREGLI DEMIR CELIK
32,TEZOL,EUROPAP TEZOL KAGIT
33,FORMT,FORMET METAL VE CAM
34,FZLGY,FUZUL GMYO
35,GEREL,GERSAN ELEKTRIK
36,GMTAS,GIMAT MAGAZACILIK
37,GESAN,GIRISIM ELEKTRIK SANAYI
38,GOLTS,GOLTAS CIMENTO
39,GOODY,GOOD-YEAR
40,GUBRF,GUBRE FABRIK.
41,HUNER,HUN YENILENEBILIR ENERJI
42,IHLGM,IHLAS GAYRIMENKUL
43,INVES,INVESTCO HOLDING
44,IEHYO,ISIKLAR ENERJI YAPI HOLDING
45,ISDMR,ISKENDERUN DEMIR CELIK
46,JANTS,JANTSA JANT SANAYI
47,KLKIM,KALEKIM KIMYEVI MADDELER
48,KLSER,KALESERAMIK
49,KRDMD,KARDEMIR (D)
50,KARSN,KARSAN OTOMATIV
51,KTLEV, KATILIM TAS. FIN.
52,KATMR,KATMERCILER EKIPMAN
53,KAYSE,KAYSERI SEKER FABRIKASI
54,KRVGD,KERVAN GIDA
55,KZBGY,KIZILBUK GYO
56,KCAER,KOCAER CELIK
57,KONTR,KONTROLMATIK TEKNOLOJI
58,KONYA,KONYA CIMENTO
59,KONKA,KONYA KAGIT
60,KOPOL,KOZA POLYESTER
61,KRSTL,KRISTAL KOLA
62,LOGO,LOGO YAZILIM
63,MAVI,MAVI GIYIM
64,MNDRS,MENDERES TEKSTIL
65,MIATK,MIA TEKNOLOJI
66,MPARK,MLP SAGLIK
67,NTGAZ,NATURELGAZ
68,NUHCM,NUH CIMENTO
69,ODAS,ODAS ELEKTRIK
70,ORGE,ORGE ENERJI ELEKTRIK
71,OYAKC,OYAK CIMENTO
72,PNLSN,PANELSAN CATI CEPHE
73,PARSN,PARSAN
74,PASEU,PASIFIK EURASIA LOJISTIK
75,PSGYO,PASIFIK GMYO
76,PGSUS,PEGASUS
77,PEKGY,PEKER GMYO
78,PENTA,PENTA TEKNOLOJI URUNLERI DAGITIM
79,POLHO,POLISAN HOLDING
80,RALYH,RAL YATIRIM HOLDING
81,SASA,SASA POLYESTER
82,SELEC,SELCUK ECZA DEPOSU
83,SNGYO,SINPAS GMYO
84,SMRTG,SMART GUNES ENERJISI TEK.
85,SOKE,SOKE DEGIRMENCILIK
86,TKFEN,TEKFEN HOLDING
87,TUKAS,TUKAS
88,TMSN,TUMOSAN MOTOR VE TRAKTOR
89,TUPRS,TUPRAS
90,THYAO,TURK HAVA YOLLARI
91,TRILC,TURK ILAC SERUM
92,PRKAB,TURK PRYSMIAN KABLO
93,ULUUN,ULUSOY UN SANAYI
94,VAKKO,VAKKO TEKSTIL
95,VESTL,VESTEL
96,VESBE,VESTEL BEYAZ ESYA
97,YATAS,YATAS
98,YYLGD,YAYLA GIDA
99,YEOTK,YEO TEKNOLOJI ENERJI
100,YUNSA,YUNSA
